"state","potency","weight","month","price"
"WA",77,217,1,5000
"CT",51,248,1,4800
"FL",68,43,1,3500
"OH",69,123,1,3500
"MS",75,118,1,3400
"VA",73,127,1,3000
"FL",54,50,1,3000
"IL",58,140,1,2800
"GA",77,127,1,2600
"MS",49,74,1,2600
"LA",78,82,1,2600
"LA",78,81,1,2600
"LA",74,79,1,2600
"ME",81,12,1,2500
"FL",71,30,1,2500
"CA",79,107,1,2500
"NH",77,39,1,2400
"NH",73,52,1,2400
"FL",64,66,1,2100
"DC",59,61,1,2000
"PA",80,53,1,2000
"FL",49,53,1,2000
"PA",49,51,1,2000
"DC",56,60,1,2000
"NY",48,53,1,2000
"IL",71,83,1,2000
"IL",50,122,1,2000
"NM",3,87,1,1900
"LA",53,93,1,1900
"NY",78,55,1,1900
"OH",61,55,1,1900
"IL",37,53,1,1800
"VA",74,48,1,1800
"IL",37,51,1,1800
"MS",56,62,1,1800
"NY",70,48,1,1800
"CT",41,83,1,1700
"PA",40,45,1,1700
"CA",36,84,1,1700
"NY",85,61,1,1700
"NY",77,59,1,1700
"VA",50,62,1,1700
"CA",62,73,1,1600
"NJ",52,60,1,1600
"WI",88,50,1,1600
"NY",65,54,1,1600
"MS",86,34,1,1500
"FL",37,54,1,1500
"FL",35,54,1,1500
"FL",37,54,1,1500
"FL",37,54,1,1500
"WA",84,77,1,1500
"NJ",56,62,1,1500
"TX",41,94,1,1400
"MS",77,41,1,1400
"FL",53,16,1,1400
"IL",51,34,1,1400
"CA",68,84,1,1400
"LA",21,62,1,1300
"FL",60,52,1,1300
"IL",55,34,1,1200
"CA",66,56,1,1200
"CA",61,55,1,1200
"FL",19,13,1,1200
"IL",44,62,1,1200
"MO",77,38,1,1200
"CA",62,45,1,1200
"WA",79,46,1,1100
"WA",82,4,1,1100
"MA",76,26,1,1100
"NY",62,17,1,1000
"FL",68,17,1,1000
"VA",62,27,1,1000
"FL",66,23,1,1000
"OH",73,16,1,1000
"IN",72,26,1,1000
"MA",44,28,1,950
"NY",78,27,1,950
"MA",77,21,1,900
"NY",80,28,1,900
"FL",47,32,1,900
"CT",63,21,1,900
"OH",43,28,1,880
"GA",62,23,1,850
"NY",75,27,1,850
"PA",60,29,1,850
"SC",93,24,1,850
"GA",79,23,1,850
"CT",47,27,1,850
"NJ",51,24,1,840
"MS",79,11,1,810
"WA",73,27,1,800
"NY",67,26,1,800
"MO",79,25,1,800
"WV",74,7,1,800
"NY",63,27,1,800
"VA",36,27,1,800
"LA",40,21,1,800
"OH",68,20,1,800
"FL",67,13,1,800
"IL",58,13,1,800
"DC",84,13,1,800
"IL",86,26,1,800
"MS",75,16,1,800
"LA",39,18,1,800
"VA",60,21,1,800
"IL",48,20,1,800
"IL",66,26,1,800
"OR",52,39,1,780
"MO",77,24,1,760
"SC",85,23,1,750
"FL",33,27,1,750
"LA",57,27,1,750
"FL",80,9,1,750
"GA",61,29,1,750
"OH",38,23,1,720
"MS",75,12,1,700
"MA",83,7,1,700
"TX",74,26,1,700
"TX",88,13,1,700
"MA",85,9,1,700
"FL",48,23,1,700
"MI",62,21,1,700
"FL",70,15,1,700
"MA",83,10,1,700
"NY",76,49,1,700
"FL",64,28,1,700
"MA",71,10,1,700
"MD",43,13,1,650
"MA",76,8,1,650
"MA",84,1,1,650
"LA",81,14,1,630
"CT",64,14,1,630
"NJ",43,26,1,620
"NV",70,23,1,600
"WA",68,21,1,600
"VA",52,8,1,600
"WA",68,21,1,600
"NV",66,19,1,600
"NY",49,11,1,600
"CA",63,29,1,600
"NV",79,24,1,600
"NV",72,27,1,600
"IN",46,12,1,600
"NJ",53,9,1,600
"NV",80,23,1,600
"NJ",66,8,1,600
"WA",78,21,1,580
"CA",79,23,1,580
"MN",84,7,1,550
"IN",56,13,1,550
"IL",81,10,1,550
"IL",74,10,1,550
"CA",68,21,1,550
"CT",84,12,1,540
"CA",85,24,1,530
"CT",81,12,1,500
"DC",85,10,1,500
"LA",62,23,1,500
"DC",79,11,1,500
"DC",67,11,1,500
"IL",93,7,1,500
"VA",66,6,1,500
"NJ",63,3,1,500
"CA",71,26,1,500
"FL",77,4,1,500
"MS",53,15,1,500
"IL",86,8,1,500
"FL",76,12,1,500
"FL",73,12,1,500
"VA",59,7,1,500
"IN",80,12,1,500
"MA",91,14,1,450
"IL",61,6,1,450
"DC",89,8,1,420
"IL",46,11,1,400
"IL",78,4,1,400
"IL",67,12,1,400
"OH",71,12,1,400
"NJ",53,12,1,400
"PA",57,44,1,400
"IL",77,12,1,400
"OH",77,10,1,400
"MA",44,7,1,400
"NJ",76,13,1,400
"MA",70,7,1,380
"RI",50,11,1,380
"MD",20,5,1,350
"PA",79,2,1,350
"IL",67,11,1,350
"DC",89,6,1,340
"NY",67,5,1,340
"IL",45,8,1,340
"LA",76,8,1,310
"IN",37,10,1,300
"IN",55,7,1,300
"MA",69,3,1,300
"NY",66,9,1,300
"OH",76,4,1,300
"PA",91,3,1,300
"CT",76,4,1,300
"WV",47,2,1,300
"WV",85,4,1,300
"IL",93,3,1,300
"IA",72,2,1,300
"PA",71,3,1,290
"MA",78,1,1,280
"NY",67,7,1,280
"NY",86,5,1,280
"NY",72,5,1,280
"VA",57,4,1,280
"WA",82,10,1,280
"NV",58,12,1,280
"FL",79,3,1,260
"CA",58,12,1,250
"VA",94,6,1,250
"NV",69,7,1,250
"FL",73,3,1,250
"IN",84,3,1,250
"PA",78,7,1,250
"NJ",71,7,1,250
"PA",92,6,1,250
"FL",61,4,1,240
"PA",68,3,1,210
"CT",83,2,1,200
"PA",85,3,1,200
"PA",71,2,1,200
"PA",74,2,1,200
"FL",36,8,1,200
"TX",51,10,1,200
"IN",51,7,1,200
"WI",87,3,1,200
"NJ",60,2,1,200
"IN",73,3,1,200
"FL",76,5,1,200
"CA",65,5,1,200
"NJ",76,4,1,200
"FL",44,7,1,200
"FL",90,2,1,200
"FL",50,10,1,200
"IN",78,3,1,200
"IN",88,3,1,200
"WV",82,3,1,200
"WV",53,2,1,200
"OR",76,6,1,180
"IL",80,7,1,180
"CT",83,3,1,160
"TX",89,1,1,160
"CT",56,2,1,160
"IN",54,5,1,160
"NV",62,6,1,160
"DC",84,2,1,160
"NV",86,13,1,150
"NV",76,6,1,150
"VA",62,2,1,150
"LA",81,4,1,150
"CA",50,5,1,150
"FL",80,1,1,150
"CA",76,3,1,150
"CA",73,4,1,140
"FL",88,2,1,140
"DC",82,1,1,140
"IN",54,1,1,130
"DC",81,3,1,130
"DC",82,1,1,130
"VA",58,1,1,120
"IL",59,2,1,110
"TX",67,1,1,100
"PA",74,1,1,100
"MA",77,1,1,100
"MA",66,1,1,100
"VA",92,3,1,100
"IN",73,1,1,100
"NY",90,2,1,100
"NY",83,2,1,100
