State,Country,MethAcq,Drug, Potency , Nt Wt ,Seize Year,Seize Month, Post Price 
WI,,P,COCAINE HYDROCHLORIDE, 80 ," 1,000 ",2007,1," 21,000 "
VA,,P,COCAINE HYDROCHLORIDE, 87 , 255 ,2007,1," 5,500 "
NJ,,P,COCAINE HYDROCHLORIDE, 84 , 149 ,2007,1," 5,000 "
WA,,P,COCAINE, 77 , 217 ,2007,1," 5,000 "
RI,,P,COCAINE HYDROCHLORIDE, 70 , 199 ,2007,1," 4,900 "
CT,,P,COCAINE, 51 , 248 ,2007,1," 4,800 "
KY,,P,COCAINE HYDROCHLORIDE, 87 , 23 ,2007,1," 4,500 "
KY,,P,COCAINE HYDROCHLORIDE, 82 , 84 ,2007,1," 4,400 "
KY,,P,COCAINE HYDROCHLORIDE, 90 , 139 ,2007,1," 3,900 "
FL,,P,COCAINE, 68 , 43 ,2007,1," 3,500 "
TN,,P,COCAINE HYDROCHLORIDE, 58 , 125 ,2007,1," 3,500 "
MD,,P,COCAINE HYDROCHLORIDE, 59 , 124 ,2007,1," 3,500 "
UT,,P,COCAINE HYDROCHLORIDE, 31 , 227 ,2007,1," 3,500 "
OH,,P,COCAINE, 69 , 123 ,2007,1," 3,500 "
MS,,P,COCAINE, 75 , 118 ,2007,1," 3,400 "
IL,,P,COCAINE HYDROCHLORIDE, 68 , 117 ,2007,1," 3,400 "
AK,,P,COCAINE HYDROCHLORIDE, 81 , 85 ,2007,1," 3,300 "
KY,,P,COCAINE HYDROCHLORIDE, 85 , 84 ,2007,1," 3,300 "
TX,,P,COCAINE HYDROCHLORIDE, 84 , 181 ,2007,1," 3,300 "
FL,,P,COCAINE HYDROCHLORIDE, 36 , 123 ,2007,1," 3,200 "
VA,,P,COCAINE HYDROCHLORIDE, 33 , 119 ,2007,1," 3,100 "
VA,,P,COCAINE, 73 , 127 ,2007,1," 3,000 "
WI,,P,COCAINE HYDROCHLORIDE, 71 , 124 ,2007,1," 3,000 "
FL,,P,COCAINE, 54 , 50 ,2007,1," 3,000 "
